"Blooket
Import Template";;;;;;;;;;;;;;;;;;;;;;;;;
Question #;Question Text;Answer 1;Answer 2;"Answer 3
(Optional)";"Answer 4
(Optional)";"Time Limit (sec)
(Max: 300 seconds)";"Correct Answer(s)
(Only include Answer #)";;;;;;;;;;;;;;;;;;
1;Quando o Senhor tentou tirar a vida de Moisés?;Logo depois de Moisés tentar rejeitar 5 vezes o chamado na sarça ardente;Moisés estava seguindo as instruções de Deus e indo para o Egito;Moisés estava indo se encontrar com Arão no Monte Sinai;Moisés bateu na pedra ao invés de falar com ela;20;2;;;;;;;;;;;;;;;;;;
2;Por que Deus tentou tirar a vida de Moisés?;Moisés desobedeceu completamente às instruções de Deus;Zípora se opôs ao chamado de Moisés;Deus queria testar a coragem de Moisés;Moisés negligenciou um sinal da aliança com Deus, a circuncisão;20;4;;;;;;;;;;;;;;;;;;
3;Por que a negligência de Moisés com a circuncisão era tão grave?;Diminuía a autoridade de Deus como líder militar;Zípora era contra a prática da circuncisão;Enfraquecia a força dos preceitos divinos sobre Israel;O faraó exigia que todos os hebreus fossem circuncidados;20;3;;;;;;;;;;;;;;;;;;
4;Qual era o desafio principal que Moisés e Arão enfrentavam ao confrontar o faraó?;Exigir a libertação dos israelitas da escravidão no Egito, a nação mais poderosa da época;Convencer os israelitas a obedecerem a Deus;Ensinar ao faraó sobre a cultura hebraica;Organizar uma revolta militar contra o Egito;20;1;;;;;;;;;;;;;;;;;;
5;Por que o pedido inicial de Moisés ao faraó era tão modesto?;Moisés queria enganar o faraó para facilitar a fuga;Moisés temia a reação do faraó;Deus instruiu Moisés a pedir apenas uma jornada de três dias para oferecer sacrifícios;Os israelitas não queriam deixar o Egito;20;3;;;;;;;;;;;;;;;;;;
6;Qual era o verdadeiro conflito por trás do pedido de Moisés?;O direito dos israelitas de terem melhores condições de trabalho;A disputa pela liderança entre Moisés e o faraó;A necessidade de instituição das leis trabalhistas para os escravos;O direito de adorar a Deus livremente;20;4;;;;;;;;;;;;;;;;;;
7;Qual foi a reação dos capatazes israelitas após a resposta do faraó?;Culparam Moisés e temeram pela própria vida;Apoiaram Moisés e incentivaram o povo a segui-lo;Pediram a Moisés que abandonasse a missão;Organizaram uma revolta contra o faraó;20;1;;;;;;;;;;;;;;;;;;
8;Qual é a lição principal sobre as dificuldades enfrentadas pelos israelitas?;As dificuldades indicam que Deus está ausente;Deus sempre resolve os problemas imediatamente;O sofrimento pode ser um sinal da presença e ação de Deus;Os israelitas deveriam ter confiado mais no faraó;20;3;;;;;;;;;;;;;;;;;;
9;Como Moisés reagiu às dificuldades iniciais de sua missão?;Permaneceu confiante e ignorou as reclamações do povo;Se desanimou e questionou por que Deus permitiu o sofrimento do povo;Abandonou a missão e voltou para Midiã;Confrontou o faraó com mais força para exigir a libertação;20;2;;;;;;;;;;;;;;;;;;
10;Qual era a percepção de Moisés sobre sua situação ao enfrentar a resistência do faraó?;Acreditava que a libertação aconteceria rapidamente;Pensava que o faraó cederia mais cedo ou mais tarde;Situação era desfavorável e estava totalmente dependente de Deus;Culpava os hebreus por não cooperarem e não acreditarem;20;3;;;;;;;;;;;;;;;;;;
11;Por que Deus não libertou os hebreus imediatamente?;Haviam se tornado muito parecidos com os egípcios e preferiam ficar por ali;Deus queria revelar Seu poder e humilhar os deuses egípcios;Moisés não estava preparado para liderar;Os egípcios convenceram Deus a manter os hebreus escravizados;20;1;;;;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;;;;;;;;;;;;
13;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;;;;;
24;;;;;;;;;;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;;;;;;;;;;
31;;;;;;;;;;;;;;;;;;;;;;;;;
32;;;;;;;;;;;;;;;;;;;;;;;;;
33;;;;;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;;;;;;;;;;;;;;
40;;;;;;;;;;;;;;;;;;;;;;;;;
41;;;;;;;;;;;;;;;;;;;;;;;;;
